,1AHW_AB_C,1BJ1_HL_VW,1CZ8_HL_VW,1DQJ_AB_C,1DVF_AB_CD,1JRH_LH_I,1KIP_AB_C,1KIQ_AB_C,1KIR_AB_C,1MHP_HL_A,1MLC_AB_E,1N8Z_AB_C,1NCA_N_LH,1NMB_N_LH,1VFB_AB_C,1XGP_AB_C,1XGQ_AB_C,1XGR_AB_C,1XGT_AB_C,1XGU_AB_C,1YQV_HL_Y,1YY9_CD_A,2B2X_HL_A,2BDN_HL_A,2JEL_LH_P,2NY7_HL_G,2NYY_DC_A,2NZ9_DC_A,2VIR_AB_C,2VIS_AB_C,3BDY_HL_V,3BE1_HL_A,3BN9_B_CD,3G6D_LH_A,3HFM_HL_Y,3IDX_HL_G,3L5X_A_HL,3LZF_AB_HL,3N85_A_LH,3NGB_HL_G,3NPS_A_BC,3SE8_HL_G,3SE9_HL_G,3W2D_A_HL,4GXU_ABCDEF_MN,4I77_HL_Z,4JPK_HL_A,4KRL_A_B,4KRO_A_B,4KRP_A_B,4NM8_ABCDEF_HL,4U6H_AB_E,4ZS6_HL_A,5C6T_HL_A
1AHW_AB_C,1.0,0.29946282892322545,0.29852984964860746,0.29143443232930744,0.3417638571835911,0.8102306788139092,0.28137095629275055,0.282995626450038,0.2833870696342359,0.3081091978064681,0.2970045951930291,0.2914145650074065,0.3139739898202379,0.31296344917233937,0.28749548556343124,0.29280631715398625,0.2956529114122533,0.2945084176221659,0.2936477473319657,0.2939779440629945,0.2958001414336041,0.2940506745167612,0.3194277678892175,0.35273728682112065,0.4038019412539534,0.306235257988038,0.42683461450160676,0.4319793603583117,0.2867085654850122,0.28148987983904794,0.4040244855424585,0.2873011695221159,0.26441987452213084,0.274810715979883,0.29308153873064624,0.3137011262649402,0.2706970767977488,0.25981690527064294,0.2794318215215988,0.3719759464268334,0.2587989028059994,0.37743750688738537,0.37704286655111247,0.2516400123944118,0.3157392036215629,0.27025235996860714,0.27789083254949615,0.2666989678364253,0.2768296550457647,0.28324761751809396,0.334948150909034,0.2637671128051907,0.3143429524638546,0.357778546832394
1BJ1_HL_VW,0.29946282892322545,1.0,0.9916587210556441,0.28593193809890877,0.2675831070494541,0.3323576723087881,0.26394163902669837,0.25766377622651865,0.2565548154659191,0.25554615520213714,0.2827856886308175,0.2532813698575998,0.3061324430573885,0.3420122239724611,0.2648057465478507,0.2612996975214742,0.2917590769544682,0.29066997234027697,0.2868247872817861,0.29077619423303835,0.27261878677702367,0.291987604848644,0.2622335382051911,0.36402332353021327,0.3329017221751505,0.2733014402704026,0.3049205357087125,0.3015069865505746,0.2586769504205579,0.2590405409964345,0.9252828683970323,0.27265196304149647,0.2861018953398477,0.2739560943698827,0.2496793894919214,0.2875021434634848,0.26498120483406845,0.32548310888930343,0.2747972619020725,0.2637916273163902,0.28805095392142477,0.2645128235248145,0.26556009894806654,0.30008695455729967,0.3659189466028233,0.2658233918242721,0.27211789004431153,0.23033534236385464,0.2805432996091556,0.25629519419254093,0.3180567723402865,0.22343113339286447,0.27834111293265346,0.2646092947044533
1CZ8_HL_VW,0.29852984964860746,0.9916587210556441,1.0,0.2630544807297871,0.2668931436379594,0.32885699409388414,0.2607869356559475,0.25855175923909623,0.2605322737027032,0.2587817494485306,0.2670417807705067,0.2920493297067309,0.30537771149421766,0.320390723422041,0.26446780118495467,0.28561357441660656,0.2653045904371558,0.28512005098586846,0.2847971054499608,0.2907665783578664,0.2850179119337003,0.2913602003948688,0.25716786249738893,0.36872182041,0.3311902446893541,0.2703868687206347,0.3407530995215657,0.34026870676284093,0.2682918157416315,0.25499837217424054,0.9292536713744082,0.22821618739228353,0.2881949418319876,0.27768251332641186,0.254479669432911,0.2864006393217134,0.2699955698728286,0.32747924909213477,0.25392864135538046,0.26315148758363155,0.29563268507121276,0.26084891518273523,0.2853051455738192,0.30118305246164195,0.34416879036561476,0.27077126958467485,0.267542033375844,0.23083946232073937,0.27252237738505214,0.2949742158419945,0.3349727565031663,0.2375031891905233,0.26826048291656884,0.24967004561048914
1DQJ_AB_C,0.29143443232930744,0.28593193809890877,0.2630544807297871,1.0,0.3018042059697556,0.3148912056922686,0.9674792657326081,0.9675014077948542,0.9661011923126954,0.33826585117976415,0.9779255243567921,0.2985869940723875,0.296864854451512,0.32462454066236923,0.9664377566507258,0.9982369016360729,0.9968937593322201,0.9980005014587061,0.9981551180748819,0.9992978449467557,0.9817344619389278,0.305583905473334,0.3194903377660566,0.3396270474603894,0.36325067559355134,0.29374491474234166,0.3528274583038942,0.35242712300830636,0.371684775052047,0.3700778225954281,0.2725995490001122,0.2705815813221386,0.37504425902291555,0.2701161000790681,0.9793455791889748,0.2951773929491865,0.3169886325528908,0.3077289046077508,0.30622428725256584,0.28480492760445925,0.32752079961908337,0.3085126210072618,0.27548296061794886,0.30665789362364976,0.3375397276336976,0.27392241472136597,0.3234820402112092,0.292611647513437,0.269882252730819,0.250606322102098,0.36589531708580514,0.3354176238385715,0.3443074099088959,0.2957938979842487
1DVF_AB_CD,0.3417638571835911,0.2675831070494541,0.2668931436379594,0.3018042059697556,1.0,0.6360392895487766,0.2999097104633564,0.30033262024089935,0.30188280257670824,0.30373374573644496,0.3042269518318593,0.257356538485818,0.3564532629719919,0.35474699572400564,0.3024826389016886,0.3026045468333459,0.28443093768475997,0.2870448185709927,0.30380232890055636,0.2989594654756335,0.3055106429883721,0.25374561450242816,0.3078068931289538,0.3451811559577289,0.4083554979448914,0.3350350953015557,0.3205649595071945,0.30566849293801573,0.33318505785458535,0.33258319115558477,0.32836344541921386,0.2749289075835263,0.3117394970336315,0.32680558853393993,0.2835943267472514,0.3358615012237434,0.3278239000760293,0.24856977522038134,0.2705292878145741,0.36552505345049247,0.3095751725658552,0.36293650755802565,0.35981394527257915,0.3040931349097693,0.3095379436092798,0.3277002293750043,0.3133841275336328,0.2806091491529215,0.25472265602927163,0.2451914250680122,0.3507808696287725,0.2822919443633919,0.27129571464838925,0.2845318115607951
1JRH_LH_I,0.8102306788139092,0.3323576723087881,0.32885699409388414,0.3148912056922686,0.6360392895487766,1.0,0.3037246460101745,0.3178240923978163,0.33193900147999367,0.443988070288446,0.3275571702956414,0.30836730094852527,0.3694107177668491,0.4093058177360142,0.3181050797380854,0.32723900387034033,0.3282983936887165,0.3292673019999019,0.3284619165132103,0.27956340474003627,0.330127413978382,0.2717418097777197,0.4400409039732883,0.368852897270027,0.38989797189490066,0.44674821802055303,0.3456395735489504,0.41136969410119667,0.41556535138352535,0.43604769556196715,0.308781984043534,0.26196598675108385,0.4125304993432486,0.2664722090429767,0.3212584203287365,0.4469622649178357,0.23057401812508854,0.45387571183169595,0.26294759689825487,0.39306213400566775,0.4122858435894409,0.3907459435712857,0.38184202172423526,0.40282777227293654,0.47851345525644173,0.2624560132450848,0.4163119757263631,0.2608477606969072,0.27080917444108443,0.2628431978000927,0.41748622694819887,0.3701779180510999,0.36787284445992985,0.3504932345229404
1KIP_AB_C,0.28137095629275055,0.26394163902669837,0.2607869356559475,0.9674792657326081,0.2999097104633564,0.3037246460101745,1.0,0.9972165087397246,0.997063272311467,0.3372014148950166,0.9640736488346017,0.32794623797702854,0.3299982722226123,0.3027364246452798,0.997510904515535,0.9657423857388806,0.9628614385260044,0.9645723048718472,0.9653606401049795,0.9677712755196474,0.967249432006583,0.29591696603877393,0.35112107428112377,0.3216698508825054,0.3460294897401952,0.29673340367283496,0.35047551169715924,0.3505777630905015,0.3570762841720929,0.3601578110223628,0.23824900127988496,0.2801726120389176,0.3638087174777795,0.26447196952189184,0.9672750791739438,0.3071980310442189,0.2908572799328212,0.3558093044410639,0.2949460044002782,0.29599726634167484,0.3248011679881294,0.29652651900663135,0.2788349055515932,0.30661729648334624,0.32284882409134885,0.28455425862332195,0.29778928439216806,0.2898755446396844,0.2537363582114473,0.2559363349723016,0.35877180668805425,0.3177651087458171,0.35074504733645256,0.3002436719561789
1KIQ_AB_C,0.282995626450038,0.25766377622651865,0.25855175923909623,0.9675014077948542,0.30033262024089935,0.3178240923978163,0.9972165087397246,1.0,0.9961961818555123,0.339898366016946,0.9634737209835964,0.28624562125821634,0.3051599944586976,0.31072223599684956,0.9971209018472286,0.9658404021547591,0.96366671717829,0.9648729228713804,0.9658931483025036,0.9676308201513337,0.9663283913519729,0.2985904451530317,0.3549141229805861,0.3200115698757063,0.3435285818924236,0.2921718760985394,0.35033763311797766,0.35217210189124076,0.35686080712103535,0.35863204012846317,0.25082366140453166,0.28297298946793153,0.32983300926617903,0.30683230768324654,0.9671737846125386,0.3011966115638637,0.27832255363920183,0.358390002811989,0.2997800011398534,0.28233043689719883,0.35243524222531103,0.2805630420573408,0.2765652646300461,0.2942362943019118,0.32979744008617895,0.31193789330723337,0.2987010433793529,0.3078087474368705,0.2741157350543514,0.2968555001254567,0.36226743181120247,0.31918768314970264,0.34582795304753355,0.3010184268668816
1KIR_AB_C,0.2833870696342359,0.2565548154659191,0.2605322737027032,0.9661011923126954,0.30188280257670824,0.33193900147999367,0.997063272311467,0.9961961818555123,1.0,0.3354643957197674,0.9637865819244442,0.28189854853705965,0.3093990719431022,0.310927602976958,0.9977399464501158,0.9645092823749012,0.9619932564666904,0.9636901308153265,0.9646069616735982,0.9663477958097527,0.9671837464453105,0.3098953561386718,0.3467027361580557,0.32058343415377477,0.3418230963096869,0.29669625973302494,0.34823291293107284,0.353257913506949,0.3571571752419228,0.36195007614245783,0.2482176510259937,0.28195515236792,0.3430432965500445,0.29327928807800846,0.9650013347543897,0.26743753280134525,0.2775348656367911,0.36992825816610386,0.30351392140291117,0.29847023241675236,0.3249001695442112,0.2786798940341377,0.2837175091921881,0.3066858930327182,0.3227622190885492,0.2717925012337826,0.29831093371680856,0.2908815077991398,0.30480916294780985,0.2611233755739871,0.3584757231853331,0.3204348416544693,0.3487650700533639,0.3005276483857003
1MHP_HL_A,0.3081091978064681,0.25554615520213714,0.2587817494485306,0.33826585117976415,0.30373374573644496,0.443988070288446,0.3372014148950166,0.339898366016946,0.3354643957197674,1.0,0.3269953717736807,0.3587059344470461,0.3751690723705878,0.37356532488775845,0.33171237158332095,0.34019038138875207,0.3378537049895426,0.3340668329974009,0.3295536785857001,0.3188513233353477,0.3386254850488909,0.3234347510981896,0.9909145026166869,0.33966675798717505,0.49571196998663464,0.33918791735347953,0.36077668163572024,0.36249981260870084,0.3016067164459353,0.3003790378913904,0.25845970235635046,0.3510704970193451,0.3368415818295977,0.3213594963999749,0.3349428023410347,0.33408746463050026,0.3292917298874311,0.2845325404774534,0.3522130927571548,0.32989433494649,0.33714621337152517,0.324481467278813,0.3280472035005057,0.34295372065754604,0.3218831811039533,0.3406659585816158,0.2805841004173471,0.3399904677932319,0.314316862190619,0.31412949824635594,0.3065288653933251,0.35619946025367416,0.2431330139622793,0.27976998201689296
