seed,fold,how,val_rows,test_rows,val_cx,test_cx,train_rows
0,0,complex,155,119,7,7,723
0,1,cluster,172,71,5,2,754
0,2,cluster,185,55,8,3,757
0,3,cluster,88,152,10,12,757
1,0,complex,165,109,7,7,723
1,1,cluster,91,152,3,4,754
1,2,cluster,185,55,8,3,757
1,3,cluster,154,86,13,9,757
2,0,complex,112,162,7,7,723
2,1,cluster,172,71,5,2,754
2,2,cluster,196,44,10,1,757
2,3,cluster,88,152,10,12,757
3,0,complex,171,103,7,7,723
3,1,cluster,215,28,4,3,754
3,2,cluster,228,12,10,1,757
3,3,cluster,140,100,12,10,757
4,0,complex,88,186,7,7,723
4,1,cluster,176,67,4,3,754
4,2,cluster,111,129,5,6,757
4,3,cluster,170,70,17,5,757
