complex,n,ddG_sd,spearman,pearson,rmse,counted
1XGP_AB_C,4,1.2072744311824752,-1.0,-0.8275704926978298,3.448508615587941,False
3BE1_HL_A,6,1.1106645882702626,-0.5217939320872036,-0.5602956721226298,3.8200826440470688,False
4KRO_A_B,3,0.8189397085232125,-0.5,-0.49107543291014655,0.725853846928963,False
1XGQ_AB_C,4,1.6619321177847632,-0.39999999999999997,-0.07378602164603633,2.284979002545439,False
2B2X_HL_A,70,1.0379418017941364,-0.32715279641490014,-0.28969575359199645,1.3474150568892724,True
1XGT_AB_C,4,1.7284716416709205,-0.19999999999999998,-0.5524323114210445,1.6071484571613806,False
3G6D_LH_A,8,1.845662695549114,-0.19047619047619052,0.016916941987554585,1.8816222078316505,False
2NZ9_DC_A,20,1.8976855492225682,-0.030838663331674114,-0.044986998689372254,1.8703366556666146,True
2NYY_DC_A,32,1.5829505431371362,-0.02309384164222874,0.02785097449756858,1.5831446452343465,True
1XGR_AB_C,4,1.7241046032189358,0.0,0.19453596233161932,1.542585935417815,False
3W2D_A_HL,4,2.1666414638590146,0.0,0.21605373302358788,1.9814759856747453,False
4JPK_HL_A,9,1.1916648774272633,0.03333333333333333,-0.07414751390476565,1.1737290658061423,False
1JRH_LH_I,55,2.0014794216248313,0.0741395485009582,0.046905374306223525,2.0088168582441575,True
3SE8_HL_G,28,0.7753447149661993,0.07472286918203118,0.08201899639049479,1.040875536050041,True
1MHP_HL_A,70,1.0557341038600148,0.09930756723507758,0.09777266381528187,1.0735048963918195,True
1MLC_AB_E,27,1.3407525082227965,0.10838040120165628,0.09006853245144077,1.5975433154393208,True
3NPS_A_BC,27,0.6972744594268653,0.14165776382413664,0.31953889142998676,0.919444081179899,True
3BN9_B_CD,35,1.5972054533730793,0.15688471928671577,0.13861710527480223,1.5781838369375591,True
1N8Z_AB_C,14,0.931364046093578,0.1956043956043956,0.4123937115237883,1.082514424565015,True
2JEL_LH_P,44,1.6312137374246773,0.24033364133632437,0.34111508171672367,1.5486779517372529,True
1DQJ_AB_C,34,1.9433616171511594,0.26189930552407037,0.23686287051590682,2.6159978467489475,True
3NGB_HL_G,45,0.9375433253538086,0.30105401844532276,0.3829300144194517,0.9886466902062878,True
3IDX_HL_G,11,1.002789431644127,0.3090909090909091,0.1669182568295102,3.1363180891655804,True
5C6T_HL_A,20,1.0963314241479512,0.3106431208775954,0.3189261732672941,1.0251710268018426,True
3HFM_HL_Y,87,2.449702676494337,0.32528045358587937,0.2436553189964204,3.109205970270902,True
3L5X_A_HL,35,0.41767573551629056,0.3258159438043758,0.3905210153944972,1.9954378863749573,True
1AHW_AB_C,16,2.0195078246758293,0.332597588203472,0.35513793411900574,1.837449353932639,True
1VFB_AB_C,62,1.4611823552069798,0.3471636354228049,0.23039621528126286,1.5214219152060122,True
1BJ1_HL_VW,22,1.4596699753314362,0.37164644238283323,0.6499366427490538,1.6648637067134167,True
1YY9_CD_A,19,1.1871746318763041,0.38964461846681836,0.3146778158718583,1.2409402442372404,True
2BDN_HL_A,12,1.2400127538823693,0.39860139860139865,0.42953462703776557,1.1262538691515012,True
3BDY_HL_V,5,0.9682697253527414,0.39999999999999997,0.475165772315434,3.443482682051818,False
2NY7_HL_G,11,0.41587566684345284,0.43636363636363645,0.13238934299750604,1.1168896916774584,True
3SE9_HL_G,25,0.888190544086925,0.46411398919934327,0.3645204736165792,1.1619818017635013,True
3N85_A_LH,9,0.43650978737627294,0.47699162299076214,0.46267464211278364,1.1877038456628268,False
1NMB_N_LH,8,1.1951410361443147,0.47905050476530353,0.2610136247938059,1.189014331119065,False
1DVF_AB_CD,38,1.3313155682090958,0.47966726742908355,0.5274511460879215,2.0097173549798666,True
3LZF_AB_HL,3,0.22644824912847072,0.5,-0.2952930561532424,0.5832376749149334,False
4KRL_A_B,3,0.6595796813520612,0.5,-0.27387813653445936,0.6896765750237679,False
4NM8_ABCDEF_HL,9,1.5282330983359613,0.5666666666666667,0.638077913508411,1.3475594556795933,False
1CZ8_HL_VW,17,0.697285286208216,0.6290620434368639,0.6294597883022902,0.7019012570483352,True
4I77_HL_Z,12,1.1085279736772875,0.6798229310592576,0.7203622853569621,0.9192982268267083,True
1NCA_N_LH,4,0.3044200743529382,0.7999999999999999,0.9525246400637626,0.28704171330556155,False
1YQV_HL_Y,3,2.578616254669004,1.0,0.967650469817291,2.403754987398842,False
1XGU_AB_C,4,1.0644821716298782,1.0,0.9965345804221782,1.9202825472758551,False
4GXU_ABCDEF_MN,3,0.5563303976444333,1.0,0.9990993975871476,1.2532725847382924,False
1KIP_AB_C,1,,,,1.4017849875922788,False
1KIQ_AB_C,1,,,,3.1182444335925954,False
1KIR_AB_C,1,,,,2.1094391659176823,False
2VIR_AB_C,2,0.8707439317863112,,,3.3371015410798917,False
2VIS_AB_C,1,,,,5.915729953258754,False
4KRP_A_B,2,0.8822914086991817,,,0.7081401307481268,False
4U6H_AB_E,2,0.3301580968969338,,,1.2320644716147975,False
4ZS6_HL_A,2,2.2266205294083865,,,1.7390965803793539,False
